input,required-output,baseline-output,finetune-output,Result Baseline,Result Finetuned,
"Question: How many members are currently active?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",,Pass,,
"Question: Show me new members gained vs churned each month for the last 12 months

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'waterfall', 'chartDetails': 'Waterfall chart showing monthly member gains (new joins) vs losses (churn) over last 12 months - green bars for gained, red bars for lost', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'waterfall', 'chartDetails': 'gains vs losses: new vs churned, gained vs lost, net change', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Show me new members gained vs churned each month for the last 12 months, bar chart', 'notAnswerableReason': None}",Pass,Fail,
"Question: What is the renewal rate for student memberships?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'What is the renewal rate for student memberships, line chart', 'notAnswerableReason': None}",Pass,Fail,
"Question: Member count by state for 2024

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Member count by state for 2024, bar chart sorted by count descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'Member count by state for 2024', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Member count by state for 2024, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: How has the active member count changed month over month this year?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Active member count change month over month this year, line chart with month on x-axis and count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'active member count over time', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'How has the active member count changed month over month this year, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: What percentage of members have a recurring subscription?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: Members gained vs lost waterfall by quarter 2023 to 2025

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'waterfall', 'chartDetails': 'Waterfall chart showing members gained vs lost by quarter from 2023 to 2025 - green bars for gains, red bars for losses', 'notAnswerableReason': None}",,"{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Members gained vs lost waterfall by quarter 2023 to 2025, bar chart', 'notAnswerableReason': None}",,Fail,
"Question: Show membership status distribution across all product types

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Membership status distribution across all product types, stacked or grouped bar chart with product type on x-axis and member count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'pie', 'chartDetails': 'percentage/share of total (8 or fewer categories)', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Show membership status distribution across all product types, pie chart', 'notAnswerableReason': None}",Fail,Fail,
"Question: What is the average membership duration in days?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: Top 10 zip codes by active member count

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Top 10 zip codes by active member count, bar chart sorted by count descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'Top 10 zip codes by active member count', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Top 10 zip codes by active member count, bar chart', 'notAnswerableReason': None}",Fail,Pass,
